pat,thick,add,phase,rec,e1,e2,e3,e4
1,0,0,7,FBP,,,,1
1,0,1,7,FBP,,,,1
1,0,2,6,FBP,,,,1
1,0,3,6,FBP,,,,1
1,0,5,5,FBP,,,,1
1,0,7,4,FBP,,,,1
1,5,0,7,FBP,,,,1
1,5,1,7,FBP,,,,1
1,5,2,6,FBP,,,,1
1,5,3,6,FBP,,,,1
1,5,5,5,FBP,,,,1
1,5,7,4,FBP,,,,1
1,8,0,7,FBP,,,,1
1,8,2,6,FBP,,,,1
3,5,1,11,AIDR,,,1,
3,5,2,10,AIDR,,,,1
3,5,7,8,AIDR,,,1,
3,8,2,10,AIDR,,,,1
3,0,1,11,FBP,,,1,
3,0,2,10,FBP,,,1,
3,5,1,11,FBP,,,1,
3,5,2,10,FBP,,,1,
3,5,3,10,FBP,,,1,
3,5,5,9,FBP,,,1,
3,5,7,8,FBP,,,1,
3,8,2,10,FBP,,,1,
3,8,3,10,FBP,,,1,
3,8,5,9,FBP,,,1,
3,8,7,8,FBP,,,1,
4,0,0,8,AIDR,,,1,
4,0,1,8,AIDR,,,1,
4,0,2,7,AIDR,,,1,
4,0,3,7,AIDR,,,1,
4,0,5,6,AIDR,,,1,
4,0,7,5,AIDR,,,1,
4,5,0,8,AIDR,,,1,
4,5,1,8,AIDR,,,1,
4,8,0,8,AIDR,,,1,
4,0,0,8,FBP,,,1,
4,0,1,8,FBP,,,1,
4,0,2,7,FBP,,,1,
4,0,3,7,FBP,,,1,
4,0,5,6,FBP,,,1,
4,0,7,5,FBP,,,1,
4,5,0,8,FBP,,,1,
4,5,1,8,FBP,,,1,
4,5,2,7,FBP,,,1,
4,5,3,7,FBP,,,1,
4,5,5,6,FBP,,,1,
4,8,0,8,FBP,,,1,
4,8,1,8,FBP,,,1,
4,8,2,7,FBP,,,1,
4,8,3,7,FBP,,,1,
5,8,7,7,AIDR,,,1,1
5,0,2,9,FBP,,1,,
5,0,3,9,FBP,,1,,1
5,0,5,8,FBP,,1,,1
5,0,7,7,FBP,1,,,1
5,8,3,9,FBP,,,1,
6,0,0,11,FBP,1,,,
6,0,1,11,FBP,1,,,
6,0,2,10,FBP,1,,,
6,0,3,10,FBP,1,,,
6,0,5,9,FBP,1,,,
6,0,7,8,FBP,1,,,
6,5,0,11,FBP,1,,,
6,5,1,11,FBP,1,,,
6,5,2,10,FBP,1,,,
6,5,3,10,FBP,1,,,
6,5,7,8,FBP,1,,,
6,8,0,11,FBP,1,,,
6,8,1,11,FBP,1,,,
6,8,2,10,FBP,1,,,
6,8,3,10,FBP,1,,,
10,5,1,8,AIDR,,,1,
10,0,0,8,FBP,,1,1,
10,0,2,7,FBP,,1,1,
10,0,3,7,FBP,,1,1,
10,0,5,6,FBP,,1,,
10,0,7,5,FBP,,1,,
10,5,0,8,FBP,,,1,
10,5,2,7,FBP,,1,1,
10,5,3,7,FBP,,1,,
10,5,5,6,FBP,,1,,
10,5,7,5,FBP,,1,,
10,8,0,8,FBP,,,1,
10,8,2,7,FBP,,1,1,
10,8,3,7,FBP,,1,1,
10,8,5,6,FBP,,1,1,
10,8,7,5,FBP,,1,,
14,0,2,6,FBP,,,1,
14,0,3,6,FBP,,,1,
14,0,7,4,FBP,,,1,
14,5,0,7,FBP,,,1,
14,5,2,6,FBP,,,1,
14,5,3,6,FBP,,,1,
14,8,1,7,FBP,,,1,
15,8,5,8,AIDR,,,1,
15,0,3,9,FBP,,1,1,
15,0,5,8,FBP,,1,1,
15,0,7,7,FBP,,1,1,
15,5,0,10,FBP,,,1,
15,5,2,9,FBP,,,1,
15,5,3,9,FBP,,1,1,
15,5,5,8,FBP,,1,1,
15,5,7,7,FBP,,,1,
15,8,2,9,FBP,,,1,
15,8,3,9,FBP,,,1,
15,8,5,8,FBP,,,1,
15,8,7,7,FBP,,,1,
17,0,0,10,AIDR,,,1,
17,0,0,10,FBP,,,1,
17,0,1,10,FBP,1,1,1,
17,5,0,10,FBP,,,1,
17,5,1,10,FBP,,,1,
17,8,0,10,FBP,,,1,
17,8,1,10,FBP,,,1,
18,5,7,5,AIDR,,,1,
19,0,5,7,AIDR,1,,,
19,5,0,9,AIDR,1,,,
19,5,2,8,AIDR,1,,,
19,5,3,8,AIDR,1,,,
20,0,1,6,AIDR,,1,1,
20,0,2,5,AIDR,1,1,1,
20,0,3,5,AIDR,,1,,
20,0,5,4,AIDR,,1,,
20,0,7,3,AIDR,,1,,
20,5,1,6,AIDR,,,1,
20,8,1,6,AIDR,,,1,
21,0,0,9,AIDR,,,1,
21,0,1,9,AIDR,,,1,
21,0,2,8,AIDR,,,1,
21,0,3,8,AIDR,,,1,
21,0,5,7,AIDR,,,1,
21,0,7,6,AIDR,,,1,
21,5,0,9,AIDR,,,1,
21,5,1,9,AIDR,,,1,
21,5,2,8,AIDR,1,1,1,1
21,5,3,8,AIDR,,,1,
21,5,5,7,AIDR,,,1,
21,5,7,6,AIDR,,,1,
21,8,0,9,AIDR,,,1,
21,8,1,9,AIDR,,,1,
21,8,2,8,AIDR,,,1,
21,8,3,8,AIDR,,,1,
21,8,5,7,AIDR,,,1,
21,8,7,6,AIDR,,,1,1
21,0,0,9,FBP,,,1,
21,0,1,9,FBP,,,1,
21,0,2,8,FBP,,,1,
21,0,3,8,FBP,,,1,
21,0,5,7,FBP,,,1,
21,0,7,6,FBP,,,1,
21,5,0,9,FBP,,,1,
21,5,1,9,FBP,,,1,
21,5,2,8,FBP,,,1,
21,5,3,8,FBP,,,1,
21,5,5,7,FBP,,,1,
21,5,7,6,FBP,,,1,
21,8,0,9,FBP,,,1,
21,8,1,9,FBP,,,1,
21,8,2,8,FBP,,,1,
21,8,3,8,FBP,,,1,
21,8,5,7,FBP,,,1,
21,8,7,6,FBP,,,1,
22,0,1,8,AIDR,,1,,
22,0,5,6,AIDR,,,1,
22,5,5,6,AIDR,,,1,1
22,8,0,8,AIDR,,,1,
22,8,2,7,AIDR,,,1,
22,8,3,7,AIDR,,,1,
22,8,5,6,AIDR,,,1,1
22,8,7,5,AIDR,,,1,
23,0,0,6,FBP,1,,,
23,0,3,5,FBP,1,,,
23,0,5,4,FBP,1,,,
23,0,7,3,FBP,1,,,
24,5,1,10,AIDR,,,1,1
24,5,2,9,AIDR,,,1,1
24,8,0,10,AIDR,,,1,1
24,8,1,10,AIDR,,,,1
24,8,2,9,AIDR,,,1,1
24,0,1,10,FBP,,,,1
24,0,2,9,FBP,,,,1
24,0,5,8,FBP,,,,1
24,5,0,10,FBP,1,,,
24,8,1,10,FBP,1,,,
24,8,2,9,FBP,,,,1
25,8,0,6,FBP,,,1,
26,0,0,6,FBP,,1,1,
26,0,1,6,FBP,,,1,
26,0,2,5,FBP,,,1,
27,0,0,7,AIDR,,,1,
27,0,1,7,AIDR,,,1,
27,0,2,6,AIDR,,,1,
27,0,3,6,AIDR,,,1,
27,0,5,5,AIDR,,,1,
27,0,7,4,AIDR,,,1,
27,5,0,7,AIDR,,,1,
27,5,1,7,AIDR,,,1,
27,5,2,6,AIDR,,,1,
27,5,3,6,AIDR,,,1,
27,5,5,5,AIDR,,,1,
27,5,7,4,AIDR,,,1,1
27,8,0,7,AIDR,,,1,
27,8,1,7,AIDR,,,1,
27,8,2,6,AIDR,,,1,
27,8,3,6,AIDR,,,1,
27,8,5,5,AIDR,,,1,
27,8,7,4,AIDR,,,1,1
27,0,0,7,FBP,,,1,
27,0,1,7,FBP,,,1,
27,0,2,6,FBP,,,1,
27,0,3,6,FBP,,,1,
27,0,5,5,FBP,,,1,
27,0,7,4,FBP,,,1,
27,5,0,7,FBP,,,1,
27,5,1,7,FBP,,,1,
27,5,2,6,FBP,,,1,
27,5,3,6,FBP,,,1,
27,5,5,5,FBP,,,1,
27,5,7,4,FBP,,,1,
27,8,0,7,FBP,,,1,
27,8,1,7,FBP,,,1,
27,8,2,6,FBP,,,1,
27,8,3,6,FBP,,,1,
27,8,5,5,FBP,,,1,
27,8,7,4,FBP,,,1,
28,8,0,10,FBP,1,,,
29,0,0,5,FBP,,,1,
29,0,1,5,FBP,,,1,
29,0,2,4,FBP,,,1,
29,0,3,4,FBP,,,1,
29,5,0,5,FBP,,,1,
29,5,1,5,FBP,,,1,
29,5,2,4,FBP,,,1,
29,8,0,5,FBP,,,1,
29,8,1,5,FBP,,,1,
29,8,2,4,FBP,,,1,
29,8,3,4,FBP,,,1,
29,8,5,3,FBP,,,1,
29,8,7,2,FBP,,,1,
30,0,0,10,FBP,1,,,
30,0,1,10,FBP,1,,1,
30,0,2,9,FBP,1,,,
30,0,3,9,FBP,1,,,
30,0,5,8,FBP,1,,,
30,0,7,7,FBP,1,,,
41,0,0,9,FBP,1,1,1,1
41,0,1,9,FBP,1,1,1,1
41,0,2,8,FBP,1,1,1,1
41,0,3,8,FBP,1,1,1,1
41,0,5,7,FBP,1,1,1,1
41,0,7,6,FBP,1,1,1,1
41,5,0,9,FBP,1,1,1,1
41,5,1,9,FBP,1,1,1,1
41,5,2,8,FBP,1,1,1,1
41,5,3,8,FBP,1,1,1,1
41,5,5,7,FBP,1,1,1,1
41,5,7,6,FBP,1,1,1,1
41,8,0,9,FBP,1,1,1,1
41,8,1,9,FBP,1,1,1,1
41,8,2,8,FBP,1,1,1,1
41,8,3,8,FBP,1,1,1,1
41,8,5,7,FBP,1,1,1,1
41,8,7,6,FBP,1,1,1,1
42,0,0,3,AIDR,1,,1,
42,0,1,3,AIDR,,,1,
42,0,2,2,AIDR,,,1,
42,0,3,2,AIDR,,,1,
42,0,5,1,AIDR,,,1,
42,0,7,0,AIDR,,,1,
42,0,0,3,FBP,1,,1,
42,0,1,3,FBP,1,,1,
42,0,2,2,FBP,1,,1,
42,0,3,2,FBP,1,,1,
42,0,5,1,FBP,,,1,
42,0,7,0,FBP,,,1,
42,5,0,3,FBP,,,1,
43,0,2,4,AIDR,1,,,
43,0,3,4,AIDR,1,,,
43,0,2,4,FBP,1,,,
43,0,3,4,FBP,1,,,
43,5,1,5,FBP,1,,,
43,8,0,5,FBP,1,,,
43,8,1,5,FBP,1,,,
44,5,0,4,AIDR,,,1,
44,5,1,4,AIDR,,,1,
44,8,7,1,AIDR,,,1,
44,0,0,4,FBP,,1,,
44,0,1,4,FBP,,1,,
44,5,0,4,FBP,,,1,
44,5,1,4,FBP,,,1,
44,5,2,3,FBP,,,1,
44,5,3,3,FBP,,,1,
44,5,5,2,FBP,,,1,
44,5,7,1,FBP,,,1,
44,8,0,4,FBP,,,1,
44,8,1,4,FBP,,,1,
44,8,2,3,FBP,,,1,
44,8,5,2,FBP,,,1,
44,8,7,1,FBP,,,1,
